VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4AZ0CP7F,Pierce,Tacoma,WA,98407.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,27.0,347736161,POINT (-122.5113356 47.2923828),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060300.0
KNDC3DLC5N,King,Seattle,WA,98109.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,205595386,POINT (-122.34848 47.632405),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006701.0
7SAYGAEEXN,Snohomish,Marysville,WA,98270.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,38.0,219000358,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052904.0
5YJYGDEF0M,Thurston,Lacey,WA,98516.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22.0,180664522,POINT (-122.7510253 47.08149),PUGET SOUND ENERGY INC,53067012330.0
WBAJB1C58K,Thurston,Olympia,WA,98513.0,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,2.0,475113859,POINT (-122.81709 46.988575),PUGET SOUND ENERGY INC,53067012332.0
5YJ3E1EA8J,Snohomish,Bothell,WA,98012.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44.0,111769703,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061052010.0
5YJ3E1EB1K,Whatcom,Bellingham,WA,98226.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,42.0,233930203,POINT (-122.45493 48.76809),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000302.0
YV4BC0PK9G,King,Redmond,WA,98053.0,2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,45.0,133616423,POINT (-122.0370611 47.6887161),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032315.0
7SAYGDEE7N,King,Kent,WA,98030.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,33.0,203705764,POINT (-122.199755 47.37483),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029505.0
JA3215H15C,San Juan,Lopez Island,WA,98261.0,2012,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,62,0,40.0,233048133,POINT (-122.9109264 48.5262809),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960501.0
